State,Politician,Affiliation
Alabama,Kay Ivey,R
Alaska,Michael Dunleavy,R
Arizona,Doug Ducey,R
Arkansas,Asa Hutchinson,R
California,Gavin Newsom,D
Colorado,Jared Polis,D
Connecticut,Ned Lamont,D
Delaware,John Carney,D
Florida,Ron DeSantis,R
Georgia,Brian Kemp,R
Hawaii,David Ige,D
Idaho,Brad Little,R
Illinois,JB Pritzker,D
Indiana,Eric Holcomb,R
Iowa,Kim Reynolds,R
Kansas,Laura Kelly,D
Kentucky,Andy Beshear,D
Louisiana,John Bel Edwards,D
Maine,Janet Mills,D
Maryland,Larry Hogan,R
Massachusetts,Charlie Baker,R
Michigan,Gretchen Whitmer,D
Minnesota,Tim Walz,D
Mississippi,Tate Reeves,R
Missouri,Mike Parson,R
Montana,Greg Gianforte,R
Nebraska,Pete Ricketts,R
Nevada,Steve Sisolak,R
New Hampshire,Chris Sununu,R
New Jersey,Philip Murphy,D
New Mexico,Michelle Lujan Grisham,D
New York,Andrew Cuomo,D
New York,Kathy Hochul,D
North Carolina,Roy Cooper III,D
North Dakota,Doug Burgum,R
Ohio,Mike DeWine,R
Oklahoma,Kevin Stitt,R
Oregon,Kate Brown,D
Pennsylvania,Tom Wolf,D
Rhode Island,Dan McKee,D
Rhode Island,Gina Raimondo,D
South Carolina,Henry McMaster,R
South Dakota,Kristi Noem,R
Tennessee,Bill Lee,R
Texas,Greg Abbott,R
Utah,Spencer Cox,R
Vermont,Phil Scott,R
Virginia,Glenn Youngkin,R
Virginia,Ralph Northam,D
Washington,Jay Inslee,D
West Virginia,Jim Justice,R
Wisconsin,Tony Evers,D
Wyoming,Mark Gordon,R
